,,,,,,,Text,Contains_Relation
"""A surprising result is that when the decline in the IT cost is higher than a critical value, a higher switching cost increases consumer surplus.""",,,,,,,"""A surprising result is that when the decline in the IT cost is higher than a critical value, a higher switching cost increases consumer surplus.""",1
"""It is well known that manufacturing operations can affect the environment, but hardly any research explores whether the natural environment shapes manufacturing operations.""",,,,,,,"""It is well known that manufacturing operations can affect the environment, but hardly any research explores whether the natural environment shapes manufacturing operations.""",1
"""We also look at the model‚ôs implications for financial regulation and show that, in a second-best world, financial integration can increase the welfare benefits of liquidity requirements.""",,,,,,,"""We also look at the model‚ôs implications for financial regulation and show that, in a second-best world, financial integration can increase the welfare benefits of liquidity requirements.""",1
"""This effect is further amplified when the analogous distance between the markets increases, i.e., when searching in far versus near analogous markets.""",,,,,,,"""This effect is further amplified when the analogous distance between the markets increases, i.e., when searching in far versus near analogous markets.""",1
"""Industry Structure, Executive Pay, and Short-Termism (p. 402)John ThanassoulisHow should executive contracts be structured to avoid short-termism behavior that can cause excessively risky behavior?""",,,,,,,"""Industry Structure, Executive Pay, and Short-Termism (p. 402)John ThanassoulisHow should executive contracts be structured to avoid short-termism behavior that can cause excessively risky behavior?""",1
"""We find that corporate entrepreneurs are more likely to conduct search in new domains following events that cause them to expect future performance to change significantly and lastingly.""",,,,,,,"""We find that corporate entrepreneurs are more likely to conduct search in new domains following events that cause them to expect future performance to change significantly and lastingly.""",1
"""These effects increase if the environment of a hospital gets more competitive.""",,,,,,,"""These effects increase if the environment of a hospital gets more competitive.""",1
"""In the first, we find the bullwhip effect still exists when normal operational causes (e.g., batching, price fluctuations, demand estimation, etc.)""",,,,,,,"""In the first, we find the bullwhip effect still exists when normal operational causes (e.g., batching, price fluctuations, demand estimation, etc.)""",1
"""Results show that increasing the roundness of the asking price by one decimal, for instance, from precise to the thousands to precise to the tens of thousands, was associated with an increase of 0.6% in the selling price, equivalent to ‚Ç¨2,099 on average.""",,,,,,,"""Results show that increasing the roundness of the asking price by one decimal, for instance, from precise to the thousands to precise to the tens of thousands, was associated with an increase of 0.6% in the selling price, equivalent to ‚Ç¨2,099 on average.""",1
"""The difference between the two average travel times increases as the unavailability rate increases.""",,,,,,,"""The difference between the two average travel times increases as the unavailability rate increases.""",1
"""How does priming identity affect charitable giving?""",,,,,,,"""How does priming identity affect charitable giving?""",1
"""Interestingly, competitive power markets might see faster price increases than regulated utilities as such charges are put into place.""",,,,,,,"""Interestingly, competitive power markets might see faster price increases than regulated utilities as such charges are put into place.""",1
"""Results show that, contrary to theoretical predictions, quantity discounts do not necessarily increase the supplier's profits.""",,,,,,,"""Results show that, contrary to theoretical predictions, quantity discounts do not necessarily increase the supplier's profits.""",1
"""We find a statistically significant decrease in the equity and the asset betas after the quality award announcement.""",,,,,,,"""We find a statistically significant decrease in the equity and the asset betas after the quality award announcement.""",1
"""These effects do not disappear following repeated interaction between borrower and lender and are economically sizable: A one-standard-deviation increase in cultural distance, approximately the distance between Canada and the United States or between Japan and South Korea, is associated with a 6.5 basis point higher loan spread; the loan spread increases by about 23 basis points if the bank-firm match involves culturally more distant parties, for example, from Japan and the United States.""",,,,,,,"""These effects do not disappear following repeated interaction between borrower and lender and are economically sizable: A one-standard-deviation increase in cultural distance, approximately the distance between Canada and the United States or between Japan and South Korea, is associated with a 6.5 basis point higher loan spread; the loan spread increases by about 23 basis points if the bank-firm match involves culturally more distant parties, for example, from Japan and the United States.""",1
"""This finding provides direct support for the notion that investor sentiment affects the earnings expectations of hard-to-value firms.""",,,,,,,"""This finding provides direct support for the notion that investor sentiment affects the earnings expectations of hard-to-value firms.""",1
"""Technological innovations and government-directed lending can cause surges in systemic risk.""",,,,,,,"""Technological innovations and government-directed lending can cause surges in systemic risk.""",1
"""I hypothesize that change increases the risk of negative stress, and I test this hypothesis using a comprehensive panel data set of all stress-related medicine prescriptions for 92,860 employees working in 1,517 of the largest Danish organizations.""",,,,,,,"""I hypothesize that change increases the risk of negative stress, and I test this hypothesis using a comprehensive panel data set of all stress-related medicine prescriptions for 92,860 employees working in 1,517 of the largest Danish organizations.""",1
"""For example, an increase in the degree of economies of scope would increase profits if prices were fixed or if the change were limited to firm i‚ôs cost function.""",,,,,,,"""For example, an increase in the degree of economies of scope would increase profits if prices were fixed or if the change were limited to firm i‚ôs cost function.""",1
"""The experimental results show that, contrary to theoretical predictions, quantity discounts do not necessarily increase the supplier's profits.""",,,,,,,"""The experimental results show that, contrary to theoretical predictions, quantity discounts do not necessarily increase the supplier's profits.""",1
"""Although decision analysts are quite comfortable with this approach, there has been relatively little consideration of how these discrete approximations affect the results of the analysis.""",,,,,,,"""Although decision analysts are quite comfortable with this approach, there has been relatively little consideration of how these discrete approximations affect the results of the analysis.""",1
"""The first is a dynamic programming algorithm for which solution time increases exponentially with the number of time periods, but only linearly with the number of stages, irrespective of assembly structure.""",,,,,,,"""The first is a dynamic programming algorithm for which solution time increases exponentially with the number of time periods, but only linearly with the number of stages, irrespective of assembly structure.""",1
"""Second, also using panel data methods, we show that our mobility measures are important predictors of infections: roughly, a 10% increase in mobility correlates with a 5% increase in the rate of infection.""",,,,,,,"""Second, also using panel data methods, we show that our mobility measures are important predictors of infections: roughly, a 10% increase in mobility correlates with a 5% increase in the rate of infection.""",1
"""Furthermore, we find that targeting job seekers based on our proposed approach can lead to a 29% increase in profits of a targeting campaign relative to the approach that was used by the social network platform.""",,,,,,,"""Furthermore, we find that targeting job seekers based on our proposed approach can lead to a 29% increase in profits of a targeting campaign relative to the approach that was used by the social network platform.""",1
"""A paradox in organizational research on judgment and decision making is that although the law-of-effect in adaptive learning suggests that people‚ôs tendency to take a decision decreases after the decision receives negative consequences, people often exhibit an opposite action pattern of escalation of commitment.""",,,,,,,"""A paradox in organizational research on judgment and decision making is that although the law-of-effect in adaptive learning suggests that people‚ôs tendency to take a decision decreases after the decision receives negative consequences, people often exhibit an opposite action pattern of escalation of commitment.""",1
"""An advantage of the process is that it avoids perverse incentives for a capacity provider to increase congestion.""",,,,,,,"""An advantage of the process is that it avoids perverse incentives for a capacity provider to increase congestion.""",1
"""As one might anticipate, the simulation estimate of the expected number of customers in a  £iGIi/M/1 queueing system approaches the expected number in an M/M/1 queueing system as the number of arrival processes, n, increases.""",,,,,,,"""As one might anticipate, the simulation estimate of the expected number of customers in a  £iGIi/M/1 queueing system approaches the expected number in an M/M/1 queueing system as the number of arrival processes, n, increases.""",1
"""Compensation not only provides incentives to an existing manager but also affects the type of manager attracted to the firm.""",,,,,,,"""Compensation not only provides incentives to an existing manager but also affects the type of manager attracted to the firm.""",1
"""Further, the complexity of the dynamic programming formulation does not, unlike other methods, increase with the number of phases (tasks) but only with the degree in which the additional tasks change the structure of the precedence relations.""",,,,,,,"""Further, the complexity of the dynamic programming formulation does not, unlike other methods, increase with the number of phases (tasks) but only with the degree in which the additional tasks change the structure of the precedence relations.""",1
"""Gender, Competition, and Managerial Decisions (p. 114)Curtis R. PriceHow does a manager's gender affect the choice of compensation plans for employees?""",,,,,,,"""Gender, Competition, and Managerial Decisions (p. 114)Curtis R. PriceHow does a manager's gender affect the choice of compensation plans for employees?""",1
"""We advance the literature on modularity by exploring how three aspects of a supplier‚ôs relationships with its customers affect the supplier‚ôs survival: duration of buyer‚ìsupplier relationships, autonomy from customers, and links to prominent buyers.""",,,,,,,"""We advance the literature on modularity by exploring how three aspects of a supplier‚ôs relationships with its customers affect the supplier‚ôs survival: duration of buyer‚ìsupplier relationships, autonomy from customers, and links to prominent buyers.""",1
"""Finally, we show that the mere threat of introducing the direct channel can increase the manufacturer's negotiated share of cooperative profits even if price efficiency is obtained by using other business practices.""",,,,,,,"""Finally, we show that the mere threat of introducing the direct channel can increase the manufacturer's negotiated share of cooperative profits even if price efficiency is obtained by using other business practices.""",1
"""This study analyzed state-level university-based efforts to increase manufacturing productivity through the transfer of technologies, such as robotics and microcomputers, to manufacturing establishments.""",,,,,,,"""This study analyzed state-level university-based efforts to increase manufacturing productivity through the transfer of technologies, such as robotics and microcomputers, to manufacturing establishments.""",1
"""We develop a model, consistent with these observations, in which discretionary compensation payments to managers might increase firm value or might simply enrich managers at the expense of shareholders.""",,,,,,,"""We develop a model, consistent with these observations, in which discretionary compensation payments to managers might increase firm value or might simply enrich managers at the expense of shareholders.""",1
"""Comparison of the expected cost of the optimal design to the expected cost of Shewhart's design shows an increase in expected cost of only 0.4 to 8.2 percent for the latter design.""",,,,,,,"""Comparison of the expected cost of the optimal design to the expected cost of Shewhart's design shows an increase in expected cost of only 0.4 to 8.2 percent for the latter design.""",1
"""Rivalry-restraint-based theoretical mechanisms predict that an industry's profits will increase when its firms engage in less price competition, or less direct competition, with each other.""",,,,,,,"""Rivalry-restraint-based theoretical mechanisms predict that an industry's profits will increase when its firms engage in less price competition, or less direct competition, with each other.""",1
"""In particular, customers‚ô per-unit waiting cost decreases with the offered waiting times associated with the announcements.""",,,,,,,"""In particular, customers‚ô per-unit waiting cost decreases with the offered waiting times associated with the announcements.""",1
"""Consistent with prior research the authors find that online customers significantly increase their banking activity, acquire more products, and perform more transactions.""",,,,,,,"""Consistent with prior research the authors find that online customers significantly increase their banking activity, acquire more products, and perform more transactions.""",1
"""On the subscriber side, these newspapers experience an increase in subscription prices, a decrease in circulation, and an increase in differentiation from each other.""",,,,,,,"""On the subscriber side, these newspapers experience an increase in subscription prices, a decrease in circulation, and an increase in differentiation from each other.""",1
"""First, event risks such as a market crash may be significant; second, market liquidity may dry up after a crash; third, the probability of another crash may increase after a crash; and, fourth, other investment opportunity set parameters (e.g., market volatility) may also change after a crash.""",,,,,,,"""First, event risks such as a market crash may be significant; second, market liquidity may dry up after a crash; third, the probability of another crash may increase after a crash; and, fourth, other investment opportunity set parameters (e.g., market volatility) may also change after a crash.""",1
"""Telecommunications technology developments uniformly increase content providers' profit.""",,,,,,,"""Telecommunications technology developments uniformly increase content providers' profit.""",1
"""The analysis also yields a cautionary finding‚îalthough the breadth of search increases with number of searchers, the relationship is strongly sublinear (logarithmic).""",,,,,,,"""The analysis also yields a cautionary finding‚îalthough the breadth of search increases with number of searchers, the relationship is strongly sublinear (logarithmic).""",1
"""Each division manager causes costly delays at the common production facility for the other division manager.""",,,,,,,"""Each division manager causes costly delays at the common production facility for the other division manager.""",1
"""Third, retailers‚ô profits first increase in relation to their strategic-reasoning capabilities and then decrease, indicating an inverted U-shaped relationship between profits and strategic-reasoning capabilities.""",,,,,,,"""Third, retailers‚ô profits first increase in relation to their strategic-reasoning capabilities and then decrease, indicating an inverted U-shaped relationship between profits and strategic-reasoning capabilities.""",1
"""Using the callers‚ô imputed preferences, we are able to conduct counterfactual analyses of how various callback policies affect the performance of this call center.""",,,,,,,"""Using the callers‚ô imputed preferences, we are able to conduct counterfactual analyses of how various callback policies affect the performance of this call center.""",1
"""Hence, companies may be able to use charity auctions as part of a corporate social responsibility strategy and at the same time increase profitability even though they donate part of the proceeds to charity.""",,,,,,,"""Hence, companies may be able to use charity auctions as part of a corporate social responsibility strategy and at the same time increase profitability even though they donate part of the proceeds to charity.""",1
"""This paper tests whether the choice of presentation form affects the use of such information by decision makers.""",,,,,,,"""This paper tests whether the choice of presentation form affects the use of such information by decision makers.""",1
"""The growing importance of DSS for both strategy evaluation and end user computing increases the need to provide research-based guidance for the design of user interface aids.""",,,,,,,"""The growing importance of DSS for both strategy evaluation and end user computing increases the need to provide research-based guidance for the design of user interface aids.""",1
"""The tendency of orders to increase in variability as one moves up a supply chain is commonly known as the bullwhip effect.""",,,,,,,"""The tendency of orders to increase in variability as one moves up a supply chain is commonly known as the bullwhip effect.""",1
"""Additionally, a short-sale prohibition increases market depth.""",,,,,,,"""Additionally, a short-sale prohibition increases market depth.""",1
"""Using new books released simultaneously in e-book and print formats in March and June 2010 as the control group, we find that delaying e-book availability results in a 43.8% decrease in e-book sales but no increase in print book sales on Amazon.com or among other online or offline retailers.""",,,,,,,"""Using new books released simultaneously in e-book and print formats in March and June 2010 as the control group, we find that delaying e-book availability results in a 43.8% decrease in e-book sales but no increase in print book sales on Amazon.com or among other online or offline retailers.""",1
"""However, at the same time CDS protection decreases asset growth and impedes project initiation.""",,,,,,,"""However, at the same time CDS protection decreases asset growth and impedes project initiation.""",1
"""Although the optimal last-order quantity before a price increase is similar in magnitude to what has been presented in other articles applying average cost approaches, in certain respects, this paper offers novel results contradictory to those suggested by other authors.""",,,,,,,"""Although the optimal last-order quantity before a price increase is similar in magnitude to what has been presented in other articles applying average cost approaches, in certain respects, this paper offers novel results contradictory to those suggested by other authors.""",1
"""In line with theory, the estimated treatment effect increases with social cohesion as measured before the intervention.""",,,,,,,"""In line with theory, the estimated treatment effect increases with social cohesion as measured before the intervention.""",1
"""Through a series of game-theoretic models, we characterize when it is beneficial for the buyer to offer EE instruments, including assessment assistance and procurement commitment, and how these instruments interact with third-party assessment assistance to affect the supplier, EE investment level.""",,,,,,,"""Through a series of game-theoretic models, we characterize when it is beneficial for the buyer to offer EE instruments, including assessment assistance and procurement commitment, and how these instruments interact with third-party assessment assistance to affect the supplier, EE investment level.""",1
"""Our policy experiments show that providing a carefully curated digest of social media content during the earlier stages of consumer search (i.e., on the search results summary page) can lead to a 12.01% increase in the overall search engine revenue.""",,,,,,,"""Our policy experiments show that providing a carefully curated digest of social media content during the earlier stages of consumer search (i.e., on the search results summary page) can lead to a 12.01% increase in the overall search engine revenue.""",1
"""If both quantities are low, then the optimal portfolio consists of a mix of familiar and unfamiliar assets; moreover, an increase in correlation between assets causes an investor to increase concentration in familiar assets (flight to familiarity).""",,,,,,,"""If both quantities are low, then the optimal portfolio consists of a mix of familiar and unfamiliar assets; moreover, an increase in correlation between assets causes an investor to increase concentration in familiar assets (flight to familiarity).""",1
"""Using measures of market share that are exogenous to incumbent ratings, we provide suggestive evidence that incumbent rating levels become more generous as entrant market share in a product type increases.""",,,,,,,"""Using measures of market share that are exogenous to incumbent ratings, we provide suggestive evidence that incumbent rating levels become more generous as entrant market share in a product type increases.""",1
"""Our results show that as this sample size increases, the procedure gives results which agree more closely with predicted results.""",,,,,,,"""Our results show that as this sample size increases, the procedure gives results which agree more closely with predicted results.""",1
"""This cooptation increases the probability that the organization will adopt the change.""",,,,,,,"""This cooptation increases the probability that the organization will adopt the change.""",1
"""A 10% increase in the price of voice minutes will induce about a 0.8% increase in the demand for SMS.""",,,,,,,"""A 10% increase in the price of voice minutes will induce about a 0.8% increase in the demand for SMS.""",1
"""In addition, the trading returns of independent directors previously unconnected with firm executives increase after the arrival of a connected executive and drop after the connected executive leaves the firm.""",,,,,,,"""In addition, the trading returns of independent directors previously unconnected with firm executives increase after the arrival of a connected executive and drop after the connected executive leaves the firm.""",1
"""Also, lead times increase because of congestion effects, resulting in higher safety stocks for make-to-stock items and lower service levels for make-to-order items, thus leading to a complex trade-off.""",,,,,,,"""Also, lead times increase because of congestion effects, resulting in higher safety stocks for make-to-stock items and lower service levels for make-to-order items, thus leading to a complex trade-off.""",1
"""When global economic growth at the end of the year is low, investors expect a worsening of the global business cycle and increase their required returns.""",,,,,,,"""When global economic growth at the end of the year is low, investors expect a worsening of the global business cycle and increase their required returns.""",1
"""When firms with unequal capacities use the opaque selling strategy, consumers know more clearly where the opaque ticket is from and the efficacy of opaque selling decreases.""",,,,,,,"""When firms with unequal capacities use the opaque selling strategy, consumers know more clearly where the opaque ticket is from and the efficacy of opaque selling decreases.""",1
"""Observations from empirical and theoretical studies are combined in order to investigate the causes, conditions, courses, and consequences of organizational downturn.""",,,,,,,"""Observations from empirical and theoretical studies are combined in order to investigate the causes, conditions, courses, and consequences of organizational downturn.""",1
"""The analysis predicts that a brand's likelihood of using price promotions increases with an increase in the number of competing brands in a product category.""",,,,,,,"""The analysis predicts that a brand's likelihood of using price promotions increases with an increase in the number of competing brands in a product category.""",1
"""Organ exchanges are expected to increase the utilization of living donors and to alleviate the critical shortage of organs for transplantation.""",,,,,,,"""Organ exchanges are expected to increase the utilization of living donors and to alleviate the critical shortage of organs for transplantation.""",1
"""We find that customer adoption of online banking is associated with (1) substitution, primarily from incrementally more costly self-service delivery channels (automated teller machine and voice response unit); (2) augmentation of service consumption in more costly service delivery channels (branch and call center); (3) a substantial increase in total transaction volume; (4) an increase in estimated average cost to serve resulting from the combination of points (1)‚ì(3); and (5) a reduction in short-term customer profitability.""",,,,,,,"""We find that customer adoption of online banking is associated with (1) substitution, primarily from incrementally more costly self-service delivery channels (automated teller machine and voice response unit); (2) augmentation of service consumption in more costly service delivery channels (branch and call center); (3) a substantial increase in total transaction volume; (4) an increase in estimated average cost to serve resulting from the combination of points (1)‚ì(3); and (5) a reduction in short-term customer profitability.""",1
"""We examine whether the adoption of CPOE systems by hospitals is associated with an increase in reported patient complexity and if the Recovery Audit Program helped to attenuate this relationship.""",,,,,,,"""We examine whether the adoption of CPOE systems by hospitals is associated with an increase in reported patient complexity and if the Recovery Audit Program helped to attenuate this relationship.""",1
"""We also uncover tenure and context effects, which decrease and increase the hazard rate of entrepreneurial exit, respectively.""",,,,,,,"""We also uncover tenure and context effects, which decrease and increase the hazard rate of entrepreneurial exit, respectively.""",1
"""Past losses on repurchases have a significant and negative impact on the CEO‚ôs future bonus and increase the likelihood that future CEO termination is involuntary.""",,,,,,,"""Past losses on repurchases have a significant and negative impact on the CEO‚ôs future bonus and increase the likelihood that future CEO termination is involuntary.""",1
"""Using a data set consisting of automobile sales transaction data from a major U.S. automaker, our method demonstrates a 20% improvement in prediction accuracy over state-of-the-art benchmark models; this improvement can translate into a 10% increase in revenues from optimizing the offer set.""",,,,,,,"""Using a data set consisting of automobile sales transaction data from a major U.S. automaker, our method demonstrates a 20% improvement in prediction accuracy over state-of-the-art benchmark models; this improvement can translate into a 10% increase in revenues from optimizing the offer set.""",1
"""The export increase comes exclusively from small sellers and exclusively along the extensive margin‚îthat is, from new sellers or new destinations.""",,,,,,,"""The export increase comes exclusively from small sellers and exclusively along the extensive margin‚îthat is, from new sellers or new destinations.""",1
"""Merger-induced bank branch closings lead to an increase in marketplace loan requests and loan acceptance rates, particularly for debt consolidation loans to lower-risk consumers.""",,,,,,,"""Merger-induced bank branch closings lead to an increase in marketplace loan requests and loan acceptance rates, particularly for debt consolidation loans to lower-risk consumers.""",1
"""A companion paper showed that in a set of all widely released movies in 2000‚ì2009, cold opening produces a significant 20%‚ì30% increase in domestic box office revenue, which is consistent with moviegoers overestimating quality of unreviewed movies (perhaps due to limited strategic thinking).""",,,,,,,"""A companion paper showed that in a set of all widely released movies in 2000‚ì2009, cold opening produces a significant 20%‚ì30% increase in domestic box office revenue, which is consistent with moviegoers overestimating quality of unreviewed movies (perhaps due to limited strategic thinking).""",1
"""Using instrumental variable regressions, difference-in-differences analyses, and matching methods, we find the shock changed the way people vote in the affected areas, with the demutualizations being followed by a 1.7‚ì2.7-percentage-point increase in right-of-center vote share.""",,,,,,,"""Using instrumental variable regressions, difference-in-differences analyses, and matching methods, we find the shock changed the way people vote in the affected areas, with the demutualizations being followed by a 1.7‚ì2.7-percentage-point increase in right-of-center vote share.""",1
"""We also identify a sufficient condition under which the optimal price decreases over time for a given inventory level.""",,,,,,,"""We also identify a sufficient condition under which the optimal price decreases over time for a given inventory level.""",1
"""This interior trimming increases variance and reduces overconfidence.""",,,,,,,"""This interior trimming increases variance and reduces overconfidence.""",1
"""We propose a new specification for the coefficient of variation, which decreases with distance.""",,,,,,,"""We propose a new specification for the coefficient of variation, which decreases with distance.""",1
"""An important managerial question for auction houses is whether and when buy-in penalties can increase revenues of the auction house, seller, or both, and what combinations of commission and buy-in penalty to use.""",,,,,,,"""An important managerial question for auction houses is whether and when buy-in penalties can increase revenues of the auction house, seller, or both, and what combinations of commission and buy-in penalty to use.""",1
"""Because electricity prices can be negative, it is unclear how the presence of negative prices might affect the storage policy structure known to be optimal when prices are only nonnegative, or even how important it is to consider negative prices when managing an industrial battery.""",,,,,,,"""Because electricity prices can be negative, it is unclear how the presence of negative prices might affect the storage policy structure known to be optimal when prices are only nonnegative, or even how important it is to consider negative prices when managing an industrial battery.""",1
"""We find that, relative to the first-come, first-served policy, our proposed personalized priority policies have the potential to decrease average waiting times by up to 29% or increase system throughput by reducing the percentage of service requests lost to abandonment by up to 6.3%. This paper was accepted by Vishaul Gaur, operations management.""",,,,,,,"""We find that, relative to the first-come, first-served policy, our proposed personalized priority policies have the potential to decrease average waiting times by up to 29% or increase system throughput by reducing the percentage of service requests lost to abandonment by up to 6.3%. This paper was accepted by Vishaul Gaur, operations management.""",1
"""We show that, in a frictionless world where information is perfect and managers optimize, firm alliances disproportionately increase the value of high-resource-level firms, resulting in higher variance and higher skewness of the distribution of firm value; moreover, higher-value alliances are subject to regression to the mean at a faster rate.""",,,,,,,"""We show that, in a frictionless world where information is perfect and managers optimize, firm alliances disproportionately increase the value of high-resource-level firms, resulting in higher variance and higher skewness of the distribution of firm value; moreover, higher-value alliances are subject to regression to the mean at a faster rate.""",1
"""The amount of behavioral measurement, the cost of measuring outcomes, and the uncertainty of the business also affect compensation.""",,,,,,,"""The amount of behavioral measurement, the cost of measuring outcomes, and the uncertainty of the business also affect compensation.""",1
"""As a result, the buyer provides a price premium to those suppliers who adopt EDI and increases their sales volume and market share.""",,,,,,,"""As a result, the buyer provides a price premium to those suppliers who adopt EDI and increases their sales volume and market share.""",1
"""We show that institutional prestige increases a university's licensing rate over and above the rate that is explained by the university's past licensing performance.""",,,,,,,"""We show that institutional prestige increases a university's licensing rate over and above the rate that is explained by the university's past licensing performance.""",1
"""How do such structures affect service performance and service chain value?""",,,,,,,"""How do such structures affect service performance and service chain value?""",1
"""We reexamine this trade-off in a workplace lab environment and find that, in line with theory, principals increase fixed pay while lowering performance pay when the relationship between effort and output is noisier.""",,,,,,,"""We reexamine this trade-off in a workplace lab environment and find that, in line with theory, principals increase fixed pay while lowering performance pay when the relationship between effort and output is noisier.""",1
"""Pay‚ìperformance sensitivity, measured by dollar changes in manager wealth over dollar changes in firm value, decreases with proxies for growth option intensity and increases with proxies for growth option exercise.""",,,,,,,"""Pay‚ìperformance sensitivity, measured by dollar changes in manager wealth over dollar changes in firm value, decreases with proxies for growth option intensity and increases with proxies for growth option exercise.""",1
"""Even though the profit of either firm decreases as customers become more strategic, the low-quality firm suffers substantially more than the high-quality firm.""",,,,,,,"""Even though the profit of either firm decreases as customers become more strategic, the low-quality firm suffers substantially more than the high-quality firm.""",1
"""However, as conformance quality increases, the cost of improving response-focused EQ also increases, suggesting that these dimensions might compete for resources.""",,,,,,,"""However, as conformance quality increases, the cost of improving response-focused EQ also increases, suggesting that these dimensions might compete for resources.""",1
"""The exact results show surprisingly simple structures, which shed light on how system parameters affect the performance.""",,,,,,,"""The exact results show surprisingly simple structures, which shed light on how system parameters affect the performance.""",1
"""Moreover, contrary to the usual belief that such sales are purely mechanisms for disposal of unused capacity, we show that opaque selling becomes more preferred over direct last-minute selling as the probability of having high demand increases.""",,,,,,,"""Moreover, contrary to the usual belief that such sales are purely mechanisms for disposal of unused capacity, we show that opaque selling becomes more preferred over direct last-minute selling as the probability of having high demand increases.""",1
"""Using data on 47,915 new plant ventures in U.S. manufacturing, we find that incumbents and diversifying entrants establish significantly more productive new plants than de novo entrants, and that this advantage significantly increases with the importance of learning by doing in an industry (industry learning intensity).""",,,,,,,"""Using data on 47,915 new plant ventures in U.S. manufacturing, we find that incumbents and diversifying entrants establish significantly more productive new plants than de novo entrants, and that this advantage significantly increases with the importance of learning by doing in an industry (industry learning intensity).""",1
"""We find that decorated theater stars significantly affect the financial success of theater shows, supporting the MacDonald version of the superstar hypothesis.""",,,,,,,"""We find that decorated theater stars significantly affect the financial success of theater shows, supporting the MacDonald version of the superstar hypothesis.""",1
"""For example, prices and aggregate expenditures for services typically used by the elderly are found to increase under ‚úolder‚ù age distributions, whereas prices and aggregate expenditures for other services are found to decrease.""",,,,,,,"""For example, prices and aggregate expenditures for services typically used by the elderly are found to increase under ‚úolder‚ù age distributions, whereas prices and aggregate expenditures for other services are found to decrease.""",1
"""The structure of discontinuities can affect the accuracy of QMC methods more significantly than the effective dimension.""",,,,,,,"""The structure of discontinuities can affect the accuracy of QMC methods more significantly than the effective dimension.""",1
"""Finally, we show that contrary to intuition, as the competitor‚ôs cost of capacity increases, the premium a flexible firm is willing to pay for flexibility decreases.""",,,,,,,"""Finally, we show that contrary to intuition, as the competitor‚ôs cost of capacity increases, the premium a flexible firm is willing to pay for flexibility decreases.""",1
"""It increases the sales of lower-selling albums (i.e., the ‚úlong tail‚ù) significantly (40%) but does not benefit top-selling albums.""",,,,,,,"""It increases the sales of lower-selling albums (i.e., the ‚úlong tail‚ù) significantly (40%) but does not benefit top-selling albums.""",1
"""Second, market illiquidity positively affects forward-looking risk premium, indicating that forward-looking risk premium contains an illiquidity risk premium component.""",,,,,,,"""Second, market illiquidity positively affects forward-looking risk premium, indicating that forward-looking risk premium contains an illiquidity risk premium component.""",1
"""Effective reporting oversight curtails managers‚ô ability to manipulate, which increases the benefits of conservative accounting and simultaneously reduces its costs.""",,,,,,,"""Effective reporting oversight curtails managers‚ô ability to manipulate, which increases the benefits of conservative accounting and simultaneously reduces its costs.""",1
"""This paper examines how the optimal investment in the capacity of flexible and nonflexible resources is affected by financial leverage and, conversely, how a firm's resource flexibility affects its optimal capital structure.""",,,,,,,"""This paper examines how the optimal investment in the capacity of flexible and nonflexible resources is affected by financial leverage and, conversely, how a firm's resource flexibility affects its optimal capital structure.""",1
"""In particular, the variance of orders may be larger than that of sales, and the distortion tends to increase as one moves upstream‚îa phenomenon termed ‚úbullwhip effect.‚ù""",,,,,,,"""In particular, the variance of orders may be larger than that of sales, and the distortion tends to increase as one moves upstream‚îa phenomenon termed ‚úbullwhip effect.‚ù""",1
"""This study fills this gap and estimates how announcements of firms‚ô reactions (yes versus no), timing (slow versus fast), and type (maintain/suspend versus no reaction) affect daily abnormal stock returns (ARs) following negative publicity.""",,,,,,,"""This study fills this gap and estimates how announcements of firms‚ô reactions (yes versus no), timing (slow versus fast), and type (maintain/suspend versus no reaction) affect daily abnormal stock returns (ARs) following negative publicity.""",1
"""This is a survey paper on the application of control variables to increase the efficiency of discrete event simulations.""",,,,,,,"""This is a survey paper on the application of control variables to increase the efficiency of discrete event simulations.""",1
"""When calibrated to data from the crude oil market, the model implies that financialization reduces the futures risk premium and increases correlation between futures open interest and the spot price level.""",,,,,,,"""When calibrated to data from the crude oil market, the model implies that financialization reduces the futures risk premium and increases correlation between futures open interest and the spot price level.""",1
"""This increase in volume is more pronounced the longer the time since the stock price last achieved the price extreme, the smaller the firm, the higher the individual investor interest in the stock, and the greater the ambiguity regarding valuation.""",,,,,,,"""This increase in volume is more pronounced the longer the time since the stock price last achieved the price extreme, the smaller the firm, the higher the individual investor interest in the stock, and the greater the ambiguity regarding valuation.""",1
"""Because the risk of extraction increases in lead age, physicians may extract leads to reduce the future risk of mandatory extraction, due to either infection or limited space in the vein.""",,,,,,,"""Because the risk of extraction increases in lead age, physicians may extract leads to reduce the future risk of mandatory extraction, due to either infection or limited space in the vein.""",1
"""Among all states with laws creating HIE incentives, only states that combined incentives with consent requirements saw a net increase in operational HIEs; HIEs in those states also reported decreased levels of privacy concern relative to HIEs in states with other legislative approaches.""",,,,,,,"""Among all states with laws creating HIE incentives, only states that combined incentives with consent requirements saw a net increase in operational HIEs; HIEs in those states also reported decreased levels of privacy concern relative to HIEs in states with other legislative approaches.""",1
"""The optimizations show that rescheduling programs can, on the average, substantially increase a network's audience size (11.6%) and advertising revenue ($61 million per year).""",,,,,,,"""The optimizations show that rescheduling programs can, on the average, substantially increase a network's audience size (11.6%) and advertising revenue ($61 million per year).""",1
